*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  FEB 02, 2026 11:46:55

*RUN   1        : 1                         WHAPS048 TUDU1501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
   15 076     0   0.000    0.00       0    0.00
   15 077     1   0.000    0.00       0    0.00
   15 078     2   0.000    0.00       0    0.00
   15 079     3   0.000    0.00       0    0.00
   15 080     4   0.000    0.00       0    0.00
   15 081     5   0.000    0.00       0    0.00
   15 082     6   0.000    0.00       0    0.00
   15 083     7   0.000    0.00       0    0.00
   15 084     8   0.000    0.00       0    0.00
   15 085     9   0.000    0.00       0    0.00
   15 086    10   0.000    0.00       0    0.00
   15 087    11   0.000    0.00       0    0.00
   15 088    12   0.000    0.00       0    0.00
   15 089    13   0.000    0.00       0    0.00
   15 090    14   0.000    0.00       0    0.00
   15 091    15   0.000    0.00       0    0.00
   15 092    16   0.000    0.00       0    0.00
   15 093    17   0.000    0.00       0    0.00
   15 094    18   0.000    0.00       0    0.00
   15 095    19   0.000    0.00       0    0.00
   15 096    20   0.000    0.00       0    0.00
   15 097    21   0.000    0.00       0    0.00
   15 098    22   0.000    0.00       0    0.00
   15 099    23   0.000    0.00       0    0.00
   15 100    24   0.000    0.00       0    0.00
   15 101    25   0.000    0.00       0    0.00
   15 102    26   0.000    0.00       0    0.00
   15 103    27   0.000    0.00       0    0.00
   15 104    28   0.000    0.00       0    0.00
   15 105    29   0.000    0.00       0    0.00
   15 106    30   0.000    0.00       0    0.00
   15 107    31   0.000    0.00       0    0.00
   15 108    32   0.000    0.00       0    0.00
   15 109    33   0.000    0.00       0    0.00
   15 110    34   0.000    0.00       0    0.00
   15 111    35   0.000    0.00       0    0.00
   15 112    36   0.000    0.00       0    0.00
   15 113    37   0.000    0.00       0    0.00
   15 114    38   0.000    0.00       0    0.00
   15 115    39   0.000    0.00       0    0.00
   15 116    40   0.000    0.00       0    0.00
   15 117    41   0.000    0.00       0    0.00
   15 118    42   0.000    0.00       0    0.00
   15 119    43   0.000    0.00       0    0.00
   15 120    44   0.000    0.00       0    0.00
   15 121    45   0.000    0.00       0    0.00
   15 122    46   0.000    0.00       0    0.00
   15 123    47   0.000    0.00       0    0.00
   15 124    48   0.000    0.00       0    0.00
   15 125    49   0.000    0.00       0    0.00
   15 126    50   0.000    0.00       0    0.00
   15 127    51   0.000    0.00       0    0.00
   15 128    52   0.000    0.00       0    0.00
   15 129    53   0.000    0.00       0    0.00
   15 130    54   0.000    0.00       0    0.00
   15 131    55   0.000    0.00       0    0.00
   15 132    56   0.000    0.00       0    0.00
   15 133    57   0.000    0.00       0    0.00
   15 134    58   0.000    0.00       0    0.00
   15 135    59   0.000    0.00       0    0.00
   15 136    60   0.000    0.00       0    0.00
   15 137    61   0.000    0.00       0    0.00
   15 138    62   0.000    0.00       0    0.00
   15 139    63   0.000    0.00       0    0.00
   15 140    64   0.000    0.00       0    0.00
   15 141    65   0.000    0.00       0    0.00
   15 142    66   0.000    0.00       0    0.00
   15 143    67   0.000    0.00       0    0.00
   15 144    68   0.000    0.00       0    0.00
   15 145    69   0.000    0.00       0    0.00
   15 146    70   0.000    0.00       0    0.00
   15 147    71   0.000    0.00       0    0.00
   15 148    72   0.000    0.00       0    0.00
   15 149    73   0.000    0.00       0    0.00
   15 150    74   0.000    0.00       0    0.00
   15 151    75   0.000    0.00       0    0.00
   15 152    76   0.000    0.00       0    0.00
   15 153    77   0.000    0.00       0    0.00
   15 154    78   0.000    0.00       0    0.00
   15 155    79   0.000    0.00       0    0.00
   15 156    80   0.000    0.00       0    0.00
   15 157    81   0.000    0.00       0    0.00
   15 158    82   0.000    0.00       0    0.00
   15 159    83   0.000    0.00       0    0.00
   15 160    84   0.000    0.00       0    0.00
   15 161    85   0.000    0.00       0    0.00
   15 162    86   0.000    0.00       0    0.00
   15 163    87   0.000    0.00       0    0.00
   15 164    88   0.000    0.00       0    0.00
   15 165    89   0.000    0.00       0    0.00
   15 166    90   0.000    0.00       0    0.00
   15 167    91   0.000    0.00       0    0.00
   15 168    92   0.000    0.00       0    0.00
   15 169    93   0.000    0.00       0    0.00
   15 170    94   0.000    0.00       0    0.00
   15 171    95   0.000    0.00       0    0.00
   15 172    96   0.000    0.00       0    0.00
   15 173    97   0.000    0.00       0    0.00
   15 174    98   0.000    0.00       0    0.00
   15 175    99   0.000    0.00       0    0.00
   15 176   100   0.000    0.00       0    0.00
   15 177   101   0.000    0.00       0    0.00
   15 178   102   0.000    0.00       0    0.00
   15 179   103   0.000    0.00       0    0.00
   15 180   104   0.000    0.00       0    0.00
   15 181   105   0.000    0.00       0    0.00
   15 182   106   0.000    0.00       0    0.00
   15 183   107   0.000    0.00       0    0.00
   15 184   108   0.000    0.00       0    0.00
   15 185   109   0.000    0.00       0    0.00
   15 186   110   0.000    0.00       0    0.00
   15 187   111   0.000    0.00       0    0.00
   15 188   112   0.000    0.00       0    0.00
   15 189   113   0.000    0.00       0    0.00
   15 190   114   0.000    0.00       0    0.00
   15 191   115   0.000    0.00       0    0.00
   15 192   116   0.000    0.00       0    0.00
   15 193   117   0.000    0.00       0    0.00
   15 194   118   0.000    0.00       0    0.00
   15 195   119   0.000    0.00       0    0.00
   15 196   120   0.000    0.00       0    0.00
   15 197   121   0.000    0.00       0    0.00
   15 198   122   0.000    0.00       0    0.00
   15 199   123   0.000    0.00       0    0.00
   15 200   124   0.000    0.00       0    0.00
   15 201   125   0.000    0.00       0    0.00
   15 202   126   0.000    0.00       0    0.00
   15 203   127   0.000    0.00       0    0.00
   15 204   128   0.000    0.00       0    0.00
   15 205   129   0.000    0.00       0    0.00
   15 206   130   0.000    0.00       0    0.00
   15 207   131   0.000    0.00       0    0.00
   15 208   132   0.000    0.00       0    0.00
   15 209   133   0.000    0.00       0    0.00
   15 210   134   0.000    0.00       0    0.00
   15 211   135   0.000    0.00       0    0.00
   15 212   136   0.000    0.00       0    0.00
   15 213   137   0.000    0.00       0    0.00
   15 214   138   0.000    0.00       0    0.00
   15 215   139   0.000    0.00       0    0.00
   15 216   140   0.000    0.00       0    0.00
   15 217   141   0.000    0.00       0    0.00
   15 218   142   0.000    0.00       0    0.00
   15 219   143   0.000    0.00       0    0.00
   15 220   144   0.000    0.00       0    0.00
   15 221   145   0.000    0.00       0    0.00
   15 222   146   0.000    0.00       0    0.00
   15 223   147   0.000    0.00       0    0.00
   15 224   148   0.000    0.00       0    0.00
   15 225   149   0.000    0.00       0    0.00
   15 226   150   0.000    0.00       0    0.00
   15 227   151   0.000    0.00       0    0.00
   15 228   152   0.000    0.00       0    0.00
   15 229   153   0.000    0.00       0    0.00
   15 230   154   0.000    0.00       0    0.00
   15 231   155   0.000    0.00       0    0.00
   15 232   156   0.000    0.00       0    0.00
   15 233   157   0.000    0.00       0    0.00
   15 234   158   0.000    0.00       0    0.00
   15 235   159   0.000    0.00       0    0.00
   15 236   160   0.000    0.00       0    0.00
   15 237   161   0.000    0.00       0    0.00

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  FEB 02, 2026 11:46:55

*RUN   2        : 2                         WHAPS048 TUDU1501    2
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  2   : 2                         WHAPS048
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
   15 076     0   0.000    0.00       0    0.00
   15 077     1   0.000    0.00       0    0.00
   15 078     2   0.000    0.00       0    0.00
   15 079     3   0.000    0.00       0    0.00
   15 080     4   0.000    0.00       0    0.00
   15 081     5   0.000    0.00       0    0.00
   15 082     6   0.000    0.00       0    0.00
   15 083     7   0.000    0.00       0    0.00
   15 084     8   0.000    0.00       0    0.00
   15 085     9   0.000    0.00       0    0.00
   15 086    10   0.000    0.00       0    0.00
   15 087    11   0.000    0.00       0    0.00
   15 088    12   0.000    0.00       0    0.00
   15 089    13   0.000    0.00       0    0.00
   15 090    14   0.000    0.00       0    0.00
   15 091    15   0.000    0.00       0    0.00
   15 092    16   0.000    0.00       0    0.00
   15 093    17   0.000    0.00       0    0.00
   15 094    18   0.000    0.00       0    0.00
   15 095    19   0.000    0.00       0    0.00
   15 096    20   0.000    0.00       0    0.00
   15 097    21   0.000    0.00       0    0.00
   15 098    22   0.000    0.00       0    0.00
   15 099    23   0.000    0.00       0    0.00
   15 100    24   0.000    0.00       0    0.00
   15 101    25   0.000    0.00       0    0.00
   15 102    26   0.000    0.00       0    0.00
   15 103    27   0.000    0.00       0    0.00
   15 104    28   0.000    0.00       0    0.00
   15 105    29   0.000    0.00       0    0.00
   15 106    30   0.000    0.00       0    0.00
   15 107    31   0.000    0.00       0    0.00
   15 108    32   0.000    0.00       0    0.00
   15 109    33   0.000    0.00       0    0.00
   15 110    34   0.000    0.00       0    0.00
   15 111    35   0.000    0.00       0    0.00
   15 112    36   0.000    0.00       0    0.00
   15 113    37   0.000    0.00       0    0.00
   15 114    38   0.000    0.00       0    0.00
   15 115    39   0.000    0.00       0    0.00
   15 116    40   0.000    0.00       0    0.00
   15 117    41   0.000    0.00       0    0.00
   15 118    42   0.000    0.00       0    0.00
   15 119    43   0.000    0.00       0    0.00
   15 120    44   0.000    0.00       0    0.00
   15 121    45   0.000    0.00       0    0.00
   15 122    46   0.000    0.00       0    0.00
   15 123    47   0.000    0.00       0    0.00
   15 124    48   0.000    0.00       0    0.00
   15 125    49   0.000    0.00       0    0.00
   15 126    50   0.000    0.00       0    0.00
   15 127    51   0.000    0.00       0    0.00
   15 128    52   0.000    0.00       0    0.00
   15 129    53   0.000    0.00       0    0.00
   15 130    54   0.000    0.00       0    0.00
   15 131    55   0.000    0.00       0    0.00
   15 132    56   0.000    0.00       0    0.00
   15 133    57   0.000    0.00       0    0.00
   15 134    58   0.000    0.00       0    0.00
   15 135    59   0.000    0.00       0    0.00
   15 136    60   0.000    0.00       0    0.00
   15 137    61   0.000    0.00       0    0.00
   15 138    62   0.000    0.00       0    0.00
   15 139    63   0.000    0.00       0    0.00
   15 140    64   0.000    0.00       0    0.00
   15 141    65   0.000    0.00       0    0.00
   15 142    66   0.000    0.00       0    0.00
   15 143    67   0.000    0.00       0    0.00
   15 144    68   0.000    0.00       0    0.00
   15 145    69   0.000    0.00       0    0.00
   15 146    70   0.000    0.00       0    0.00
   15 147    71   0.000    0.00       0    0.00
