*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  FEB 02, 2026 11:46:55
!                             <----------------- Initial State Variables ----------------><------------------ Final State Variables -----------------><----------- Added ----------><---------------- Lost ---------------->
!                             <-------- SOM-C -------><-------- FOM-C -------><-----CH4--><-------- SOM-C -------><-------- FOM-C -------><-----CH4--><---OM---><Senesced><-HarvRes><----------------- GHG ----------------><--Balance->
!                                     Surf        Soil        Surf        Soil     Storage        Surf        Soil        Surf        Soil     Storage 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi     CH4STDi        SC0D       SOMCT        LC0D        LCTD      CH4STD      OMAC     SENCC      HRCH     CO2EC     CH4EC    CH4LCC    CH4COC      CUMBAL
   1 TUDU1501.WHX         1 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309340.53        0.00      324.50        0.00      0.00      0.00      0.00   1440.59      0.00      0.00      0.00      0.0271
   2 TUDU1501.WHX         2 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309343.03        0.00      324.50        0.00      0.00      0.00      0.00   1438.09      0.00      0.00      0.00      0.0240
   3 TUDU1501.WHX         3 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309236.94        0.00      295.23        0.00      0.00      0.00      0.00   1573.46      0.00      0.00      0.00      0.0179
   4 TUDU1501.WHX         4 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309342.47        0.00      324.66        0.00      0.00      0.00      0.00   1438.48      0.00      0.00      0.00      0.0118
   5 TUDU1501.WHX         5 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309347.72        0.00      320.92        0.00      0.00      0.00      0.00   1436.94      0.00      0.00      0.00      0.0003
   6 TUDU1501.WHX         6 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309340.41        0.00      324.63        0.00      0.00      0.00      0.00   1440.58      0.00      0.00      0.00      0.0194
   7 TUDU1501.WHX         7 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309346.50        0.00      320.72        0.00      0.00      0.00      0.00   1438.34      0.00      0.00      0.00     -0.0361
   8 TUDU1501.WHX         8 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309350.78        0.00      317.89        0.00      0.00      0.00      0.00   1436.89      0.00      0.00      0.00     -0.0173
   9 TUDU1501.WHX         9 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309350.50        0.00      316.02        0.00      0.00      0.00      0.00   1439.08      0.00      0.00      0.00      0.0151
  10 TUDU1501.WHX        10 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309236.94        0.00      295.24        0.00      0.00      0.00      0.00   1573.42      0.00      0.00      0.00      0.0155
  11 TUDU1501.WHX        11 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309350.78        0.00      317.89        0.00      0.00      0.00      0.00   1436.89      0.00      0.00      0.00     -0.0173
  12 TUDU1501.WHX        12 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309350.19        0.00      316.13        0.00      0.00      0.00      0.00   1439.26      0.00      0.00      0.00     -0.0251
  13 TUDU1501.WHX        13 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309350.41        0.00      318.16        0.00      0.00      0.00      0.00   1437.00      0.00      0.00      0.00     -0.0334
  14 TUDU1501.WHX        14 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309344.84        0.00      320.50        0.00      0.00      0.00      0.00   1440.24      0.00      0.00      0.00     -0.0122
  15 TUDU1501.WHX        15 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309235.53        0.00      294.75        0.00      0.00      0.00      0.00   1575.35      0.00      0.00      0.00      0.0367
