*EVALUATION : TUDU1701WH                                                              DSSAT Cropping System Model Ver. 4.8.5.000   -release    FEB 02, 2026; 11:47:14

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   EDAPS   EDAPM
   1 TUDU1701WH     1  1 WH     231  109788     -99     -99     -99     -99     283   13205    6204 19 5423     -99     -99   17226     -99    36.0     -99    43.1     -99   12193     -99       0     -99    3.38     -99   0.509     -99     -99     -99     131     -99     149     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      14     -99
   2 TUDU1701WH     2  1 WH     231  328938     -99     -99     -99     -99     283   13205    6259 19 7219     -99     -99   17477     -99    35.8     -99    43.7     -99   12340     -99       0     -99    3.40     -99   0.507     -99     -99     -99     133     -99     152     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      14     -99
   3 TUDU1701WH     3  1 WH     231     213     -99     -99     -99     -99     283   13205    3881 19 5870     -99     -99    8912     -99    43.6     -99    22.3     -99    6575     -99       0     -99    1.55     -99   0.590     -99     -99     -99      72     -99      80     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      14     -99
   4 TUDU1701WH     4  1 WH     231  109788     -99     -99     -99     -99     283   13205    6242 19 8443     -99     -99   17433     -99    35.8     -99    43.6     -99   12302     -99       0     -99    3.38     -99   0.507     -99     -99     -99     132     -99     151     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      14     -99
   5 TUDU1701WH     5  1 WH     231  292413     -99     -99     -99     -99     283   13205    6774 19 9238     -99     -99   19940     -99    34.0     -99    49.9     -99   14045     -99       0     -99    4.12     -99   0.482     -99     -99     -99     125     -99     147     -99       0     -99     1.8     -99       2     -99      35     -99    0.00     -99      14     -99
   6 TUDU1701WH     6  1 WH     231  292413     -99     -99     -99     -99     283   13205    6232 19 7088     -99     -99   17383     -99    35.9     -99    43.5     -99   12271     -99       0     -99    3.37     -99   0.508     -99     -99     -99     130     -99     149     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      14     -99
   7 TUDU1701WH     7  1 WH     231   73263     -99     -99     -99     -99     283   13205    6776 19 7462     -99     -99   19747     -99    34.3     -99    49.4     -99   14005     -99       0     -99    4.13     -99   0.484     -99     -99     -99     125     -99     147     -99       0     -99     1.8     -99       2     -99      35     -99    0.00     -99      14     -99
   8 TUDU1701WH     8  1 WH     231   36738     -99     -99     -99     -99     283   13205    7229 19 8381     -99     -99   21400     -99    33.8     -99    53.5     -99   15410     -99       0     -99    4.74     -99   0.469     -99     -99     -99     170     -99     195     -99       0     -99     2.3     -99       2     -99      35     -99    0.00     -99      14     -99
   9 TUDU1701WH     9  1 WH     231   73263     -99     -99     -99     -99     283   13205    7236 19 9002     -99     -99   21422     -99    33.8     -99    53.6     -99   15444     -99       0     -99    4.77     -99   0.469     -99     -99     -99     172     -99     197     -99       0     -99     2.4     -99       2     -99      35     -99    0.00     -99      14     -99
  10 TUDU1701WH    10  1 WH     231   36738     -99     -99     -99     -99     283   13205    3883 19 7721     -99     -99    8915     -99    43.6     -99    22.3     -99    6577     -99       0     -99    1.55     -99   0.590     -99     -99     -99      72     -99      80     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      14     -99
  11 TUDU1701WH    11  1 WH     231  146313     -99     -99     -99     -99     283   13205    7229 19 9954     -99     -99   21400     -99    33.8     -99    53.5     -99   15410     -99       0     -99    4.74     -99   0.469     -99     -99     -99     170     -99     195     -99       0     -99     2.3     -99       2     -99      35     -99    0.00     -99      14     -99
  12 TUDU1701WH    12  1 WH     231  279833     -99     -99     -99     -99     283   10466    7229 19 1037     -99     -99   21400     -99    33.8     -99    53.5     -99   15413     -99       0     -99    4.75     -99   0.469     -99     -99     -99     171     -99     196     -99       0     -99     2.4     -99       2     -99      35     -99    0.00     -99      14     -99
  13 TUDU1701WH    13  1 WH     231   36738     -99     -99     -99     -99     283   13205    7191 19 8441     -99     -99   21368     -99    33.7     -99    53.4     -99   15355     -99       0     -99    4.73     -99   0.468     -99     -99     -99     169     -99     194     -99       0     -99     2.4     -99       2     -99      35     -99    0.00     -99      14     -99
  14 TUDU1701WH    14  1 WH     231  182838     -99     -99     -99     -99     283   13205    6831 19 9365     -99     -99   20062     -99    34.0     -99    50.2     -99   14151     -99       0     -99    4.13     -99   0.483     -99     -99     -99     171     -99     194     -99       0     -99     2.5     -99       2     -99      35     -99    0.00     -99      14     -99
  15 TUDU1701WH    15  1 WH     231  255888     -99     -99     -99     -99     283   13205    3169 19 2617     -99     -99    8789     -99    36.1     -99    22.0     -99    5859     -99       0     -99    1.55     -99   0.541     -99     -99     -99      50     -99      59     -99       0     -99     1.6     -99       2     -99      35     -99    0.00     -99      14     -99
