
*SOIL N BALANCE - CENTURY ROUTINES

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  FEB 02, 2026 11:47:14

!                              |--------------- Initial N State Variables ----------------|----------------- Final N State Variables -----------------|------------- N Additions -------------|---------------- N Subtractions -----------------|--Mineralization---|----- Seasonal Balance -----|
!                              |----------------- Organic ----------------------|         |------------------ Organic ----------------------|         |  Harvest   Applied                    |              Tile-     Plant     N gas     Flood|   Miner-    Immob-|                            |
!                              | Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Residue   Residue  Fertiliz   Senesed|  Leached   drained    Uptake    Losses    Losses|   alized    ilized|Inorganic   Organic   Overall
@Run FILEX               TN CR     SN0Di    S1NTDi    S2NTDi    S3NTDi     LNTDi     NIADi      SN0D     S1NTD     S2NTD     S3NTD      LNTD      NIAD      HRNH     RESNC      NICM     SNNTC      NLCM      TDFC      NUCM     NGasC      RNRO      NMNC      NIMC    InNBal   OrgNBal     SNBAL
   1 TUDU1701.WHX         1 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16848.71      0.00     58.84     62.16      0.00      0.00    120.00      0.00     20.57      0.00    192.08      4.70      0.00     59.49      2.56      0.00     -0.00     -0.00
   2 TUDU1701.WHX         2 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16848.67      0.00     59.29     62.30      0.00      0.00    120.00      0.00     20.49      0.00    195.77      0.54      0.00     59.07      2.56     -0.00     -0.00     -0.00
   3 TUDU1701.WHX         3 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16843.45      0.00     55.11     83.89      0.00      0.00     40.00      0.00     23.22      0.00     98.57      2.85      0.00     67.84      1.92     -0.00     -0.00     -0.00
   4 TUDU1701.WHX         4 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16848.67      0.00     59.21     62.07      0.00      0.00    120.00      0.00     20.53      0.00    194.10      2.48      0.00     59.15      2.56      0.00     -0.00     -0.00
   5 TUDU1701.WHX         5 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16849.72      0.00     60.51     59.01      0.00      0.00    120.00      0.00     18.19      0.00    197.92      1.71      0.00     56.84      2.61     -0.00     -0.00     -0.00
   6 TUDU1701.WHX         6 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16848.66      0.00     59.35     61.90      0.00      0.00    120.00      0.00     20.57      0.00    192.33      4.25      0.00     59.02      2.56     -0.00     -0.00     -0.00
   7 TUDU1701.WHX         7 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16849.34      0.00     61.28     59.34      0.00      0.00    120.00      0.00     18.15      0.00    197.37      1.58      0.00     56.46      2.61      0.00     -0.00     -0.00
   8 TUDU1701.WHX         8 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16849.94      0.00     61.06     61.64      0.00      0.00    180.00      0.00     16.08      0.00    254.42      3.92      0.00     56.12      2.65      0.00      0.00      0.00
   9 TUDU1701.WHX         9 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16850.00      0.00     60.89     61.86      0.00      0.00    180.00      0.00     16.04      0.00    257.57      0.71      0.00     56.24      2.65      0.00      0.00      0.00
  10 TUDU1701.WHX        10 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16843.50      0.00     54.92    103.60      0.00      0.00     60.00      0.00     23.22      0.00     98.66      3.17      0.00     67.97      1.92      0.00     -0.00     -0.00
  11 TUDU1701.WHX        11 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16849.94      0.00     61.06     61.64      0.00      0.00    180.00      0.00     16.08      0.00    254.42      3.92      0.00     56.12      2.65     -0.00      0.00      0.00
  12 TUDU1701.WHX        12 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16849.96      0.00     61.00     61.70      0.00      0.00    180.00      0.00     16.08      0.00    255.85      2.48      0.00     56.17      2.65      0.00      0.00      0.00
  13 TUDU1701.WHX        13 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16850.13      0.00     60.90     61.71      0.00      0.00    180.00      0.00     16.14      0.00    254.18      4.01      0.00     56.10      2.65     -0.00     -0.00     -0.00
  14 TUDU1701.WHX        14 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16850.39      0.00     58.26     67.06      0.00      0.00    180.00      0.00     18.15      0.00    250.77      2.43      0.00     58.43      2.61      0.00     -0.00     -0.00
  15 TUDU1701.WHX        15 WH      0.00      0.00  16872.67      0.00     91.80    102.59      0.00      0.00  16841.41      0.00     59.69     64.04      0.00      0.00      0.00      0.00     23.22      0.00     78.59      0.12      0.00     65.24      1.87     -0.00     -0.00     -0.00
