Aussaat_ID,Versuchsjahr,Termin,Parzelle_ID,Vorfrucht,Saatstaerke_Anzahl_m2,Saatstaerke_kg_ha,Reihenabstand,Pflanzenabstand,Saat_Pflanzgut_ID
3585,2015,2015-03-18T00:00:00,1,0,,,,,19
3586,2015,2015-03-18T00:00:00,2,0,,,,,19
3587,2015,2015-03-18T00:00:00,3,0,,,,,19
3588,2015,2015-03-18T00:00:00,4,0,,,,,19
3589,2015,2015-03-18T00:00:00,5,0,,,,,19
3590,2015,2015-03-18T00:00:00,6,0,,,,,19
3591,2015,2015-03-18T00:00:00,7,0,,,,,19
3592,2015,2015-03-18T00:00:00,8,0,,,,,19
3593,2015,2015-03-18T00:00:00,9,0,,,,,19
3594,2015,2015-03-18T00:00:00,10,0,,,,,19
3595,2015,2015-03-18T00:00:00,11,0,,,,,19
3596,2015,2015-03-18T00:00:00,12,0,,,,,19
3597,2015,2015-03-18T00:00:00,13,0,,,,,19
3598,2015,2015-03-18T00:00:00,14,0,,,,,19
3599,2015,2015-03-18T00:00:00,15,0,,,,,19
3600,2015,2015-03-18T00:00:00,16,0,,,,,19
3601,2015,2015-03-18T00:00:00,17,0,,,,,19
3602,2015,2015-03-18T00:00:00,18,0,,,,,19
3603,2015,2015-03-18T00:00:00,19,0,,,,,19
3604,2015,2015-03-18T00:00:00,20,0,,,,,19
3605,2015,2015-03-18T00:00:00,21,0,,,,,19
3606,2015,2015-03-18T00:00:00,22,0,,,,,19
3607,2015,2015-03-18T00:00:00,23,0,,,,,19
3608,2015,2015-03-18T00:00:00,24,0,,,,,19
3609,2015,2015-03-18T00:00:00,25,0,,,,,19
3610,2015,2015-03-18T00:00:00,26,0,,,,,19
3611,2015,2015-03-18T00:00:00,27,0,,,,,19
3612,2015,2015-03-18T00:00:00,28,0,,,,,19
3613,2015,2015-03-18T00:00:00,29,0,,,,,19
3614,2015,2015-03-18T00:00:00,30,0,,,,,19
3615,2015,2015-03-18T00:00:00,31,0,,,,,19
3616,2015,2015-03-18T00:00:00,32,0,,,,,19
3617,2015,2015-03-18T00:00:00,33,0,,,,,19
3618,2015,2015-03-18T00:00:00,34,0,,,,,19
3619,2015,2015-03-18T00:00:00,35,0,,,,,19
3620,2015,2015-03-18T00:00:00,36,0,,,,,19
3621,2015,2015-03-18T00:00:00,37,0,,,,,19
3622,2015,2015-03-18T00:00:00,38,0,,,,,19
3623,2015,2015-03-18T00:00:00,39,0,,,,,19
3624,2015,2015-03-18T00:00:00,40,0,,,,,19
3625,2015,2015-03-18T00:00:00,41,0,,,,,19
3626,2015,2015-03-18T00:00:00,42,0,,,,,19
3627,2015,2015-03-18T00:00:00,43,0,,,,,19
3628,2015,2015-03-18T00:00:00,44,0,,,,,19
3629,2015,2015-03-18T00:00:00,45,0,,,,,19
3630,2015,2015-03-18T00:00:00,46,0,,,,,19
3631,2015,2015-03-18T00:00:00,47,0,,,,,19
3632,2015,2015-03-18T00:00:00,48,0,,,,,19
3633,2015,2015-03-18T00:00:00,49,0,,,,,19
3634,2015,2015-03-18T00:00:00,50,0,,,,,19
3635,2015,2015-03-18T00:00:00,51,0,,,,,19
3636,2015,2015-03-18T00:00:00,52,0,,,,,19
3637,2015,2015-03-18T00:00:00,53,0,,,,,19
3638,2015,2015-03-18T00:00:00,54,0,,,,,19
3639,2015,2015-03-18T00:00:00,55,0,,,,,19
3640,2015,2015-03-18T00:00:00,56,0,,,,,19
3641,2015,2015-03-18T00:00:00,57,0,,,,,19
