Bodenbearbeitung_Massnahme_ID,Massnahme
1,Grubber
2,Grubber (zweimal)
3,Tiefgrubber (zweimal)
4,Kreiselegge (zweimal)
5,Kreiselegge (viermal)
6,Kombikrümler (doppelt leicht)
7,Pflug
8,Pflug und Kreiselegge (einmal)
9,Pflug und Kreiselegge (zweimal)
10,"Pflug, Saatbeetbereitung Neueinsaat"
11,Pflug Zwischenfrucht
12,Handhacke und häufeln
13,Saatbettbereitung
14,"Saatbettkombination mit Kreiselegge, mit Sternwalze"
15,"Stroh gehäckselt, eingefräst"
16,Stoppelbearbeitung
17,Saatbett Zwischenfrucht
18,"Pflug, Einsaat untergepflügt Fehlstellen"
