Duengung_ID,Versuchsjahr,Termin,Parzelle_ID,Duengemittel_ID,Menge_Duengemittel,N,P2O5,K2O,MgO,CaO,S,B,Cu,Fe,Mn,Mo,Zn,NaO
12801,2015,2015-04-08T00:00:00,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12802,2015,2015-04-08T00:00:00,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12803,2015,2015-04-08T00:00:00,3,1,87,40,0,0,0,0,0,0,0,0,0,0,0,0
12804,2015,2015-04-08T00:00:00,4,1,173.9,80,0,0,0,0,0,0,0,0,0,0,0,0
12805,2015,2015-04-08T00:00:00,5,9,153.8,40,0,0,0,0,20,0,0,0,0,0,0,0
12806,2015,2015-04-08T00:00:00,6,9,307.7,80,0,0,0,0,40,0,0,0,0,0,0,0
12807,2015,2015-04-08T00:00:00,7,4,307.7,80,0,0,0,0,40,0,0,0,0,0,0,0
12808,2015,2015-04-08T00:00:00,8,4,461.5,120,0,0,0,0,60,0,0,0,0,0,0,0
12809,2015,2015-04-08T00:00:00,9,10,148.1,40,0,0,0,17.8,0,0,0,0,0,0,0,0
12810,2015,2015-04-08T00:00:00,10,10,296.3,80,0,0,0,35.6,0,0,0,0,0,0,0,0
12811,2015,2015-04-08T00:00:00,11,11,300,60,0,0,0,165,0,0,0,0,0,0,0,0
12812,2015,2015-04-08T00:00:00,12,11,400,80,0,0,0,220,0,0,0,0,0,0,0,0
12813,2015,2015-04-08T00:00:00,13,12,133.3,40,0,0,0,0,0,0,0,0,0,0,0,0
12814,2015,2015-04-08T00:00:00,14,12,266.7,80,0,0,0,0,0,0,0,0,0,0,0,0
12815,2015,2015-04-08T00:00:00,15,10,222.2,60,0,0,0,26.7,0,0,0,0,0,0,0,0
12816,2015,2015-04-08T00:00:00,16,10,222.2,60,0,0,0,26.7,0,0,0,0,0,0,0,0
12817,2015,2015-04-08T00:00:00,17,1,87,40,0,0,0,0,0,0,0,0,0,0,0,0
12818,2015,2015-04-08T00:00:00,18,1,173.9,80,0,0,0,0,0,0,0,0,0,0,0,0
12819,2015,2015-04-08T00:00:00,19,9,153.8,40,0,0,0,0,20,0,0,0,0,0,0,0
12820,2015,2015-04-08T00:00:00,20,9,307.7,80,0,0,0,0,40,0,0,0,0,0,0,0
12821,2015,2015-04-08T00:00:00,21,4,307.7,80,0,0,0,0,40,0,0,0,0,0,0,0
12822,2015,2015-04-08T00:00:00,22,4,461.5,120,0,0,0,0,60,0,0,0,0,0,0,0
12823,2015,2015-04-08T00:00:00,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12824,2015,2015-04-08T00:00:00,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12825,2015,2015-04-08T00:00:00,25,11,300,60,0,0,0,165,0,0,0,0,0,0,0,0
12826,2015,2015-04-08T00:00:00,26,11,400,80,0,0,0,220,0,0,0,0,0,0,0,0
12827,2015,2015-04-08T00:00:00,27,12,133.3,40,0,0,0,0,0,0,0,0,0,0,0,0
12828,2015,2015-04-08T00:00:00,28,12,266.7,80,0,0,0,0,0,0,0,0,0,0,0,0
12829,2015,2015-04-08T00:00:00,29,10,222.2,60,0,0,0,26.7,0,0,0,0,0,0,0,0
12830,2015,2015-04-08T00:00:00,30,10,222.2,60,0,0,0,26.7,0,0,0,0,0,0,0,0
12831,2015,2015-04-08T00:00:00,31,10,148.1,40,0,0,0,17.8,0,0,0,0,0,0,0,0
12832,2015,2015-04-08T00:00:00,32,10,296.3,80,0,0,0,35.6,0,0,0,0,0,0,0,0
12833,2015,2015-04-08T00:00:00,33,9,153.8,40,0,0,0,0,20,0,0,0,0,0,0,0
12834,2015,2015-04-08T00:00:00,34,9,307.7,80,0,0,0,0,40,0,0,0,0,0,0,0
12835,2015,2015-04-08T00:00:00,35,4,307.7,80,0,0,0,0,40,0,0,0,0,0,0,0
12836,2015,2015-04-08T00:00:00,36,4,461.5,120,0,0,0,0,60,0,0,0,0,0,0,0
12837,2015,2015-04-08T00:00:00,37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12838,2015,2015-04-08T00:00:00,38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12839,2015,2015-04-08T00:00:00,39,1,87,40,0,0,0,0,0,0,0,0,0,0,0,0
12840,2015,2015-04-08T00:00:00,40,1,173.9,80,0,0,0,0,0,0,0,0,0,0,0,0
12841,2015,2015-04-08T00:00:00,41,12,133.3,40,0,0,0,0,0,0,0,0,0,0,0,0
12842,2015,2015-04-08T00:00:00,42,12,266.7,80,0,0,0,0,0,0,0,0,0,0,0,0
12843,2015,2015-04-08T00:00:00,43,10,222.2,60,0,0,0,26.7,0,0,0,0,0,0,0,0
12844,2015,2015-04-08T00:00:00,44,10,222.2,60,0,0,0,26.7,0,0,0,0,0,0,0,0
12845,2015,2015-04-08T00:00:00,45,10,148.1,40,0,0,0,17.8,0,0,0,0,0,0,0,0
12846,2015,2015-04-08T00:00:00,46,10,296.3,80,0,0,0,35.6,0,0,0,0,0,0,0,0
12847,2015,2015-04-08T00:00:00,47,11,300,60,0,0,0,165,0,0,0,0,0,0,0,0
12848,2015,2015-04-08T00:00:00,48,11,400,80,0,0,0,220,0,0,0,0,0,0,0,0
12849,2015,2015-04-08T00:00:00,49,4,307.7,80,0,0,0,0,40,0,0,0,0,0,0,0
12850,2015,2015-04-08T00:00:00,50,4,461.5,120,0,0,0,0,60,0,0,0,0,0,0,0
12851,2015,2015-04-08T00:00:00,51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12852,2015,2015-04-08T00:00:00,52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12853,2015,2015-04-08T00:00:00,53,1,87,40,0,0,0,0,0,0,0,0,0,0,0,0
12854,2015,2015-04-08T00:00:00,54,1,173.9,80,0,0,0,0,0,0,0,0,0,0,0,0
12855,2015,2015-04-08T00:00:00,55,9,153.8,40,0,0,0,0,20,0,0,0,0,0,0,0
12856,2015,2015-04-08T00:00:00,56,9,307.7,80,0,0,0,0,40,0,0,0,0,0,0,0
12857,2015,2015-04-08T00:00:00,57,10,222.2,60,0,0,0,26.7,0,0,0,0,0,0,0,0
12858,2015,2015-04-08T00:00:00,58,10,222.2,60,0,0,0,26.7,0,0,0,0,0,0,0,0
