Pflanzenschutz_ID,Versuchsjahr,Termin,Parzelle_ID,Kultur_ID,Pflanzenschutz_Mittel_ID,Menge_l_ha,Menge_kg_ha
20865,2015,2015-04-21T00:00:00,1,8,14,,2.5
20866,2015,2015-04-21T00:00:00,2,8,14,,2.5
20867,2015,2015-04-21T00:00:00,3,8,14,,2.5
20868,2015,2015-04-21T00:00:00,4,8,14,,2.5
20869,2015,2015-04-21T00:00:00,5,8,14,,2.5
20870,2015,2015-04-21T00:00:00,6,8,14,,2.5
20871,2015,2015-04-21T00:00:00,7,8,14,,2.5
20872,2015,2015-04-21T00:00:00,8,8,14,,2.5
20873,2015,2015-04-21T00:00:00,9,8,14,,2.5
20874,2015,2015-04-21T00:00:00,10,8,14,,2.5
20875,2015,2015-04-21T00:00:00,11,8,14,,2.5
20876,2015,2015-04-21T00:00:00,12,8,14,,2.5
20877,2015,2015-04-21T00:00:00,13,8,14,,2.5
20878,2015,2015-04-21T00:00:00,14,8,14,,2.5
20879,2015,2015-04-21T00:00:00,15,8,14,,2.5
20880,2015,2015-04-21T00:00:00,16,8,14,,2.5
20881,2015,2015-04-21T00:00:00,17,8,14,,2.5
20882,2015,2015-04-21T00:00:00,18,8,14,,2.5
20883,2015,2015-04-21T00:00:00,19,8,14,,2.5
20884,2015,2015-04-21T00:00:00,20,8,14,,2.5
20885,2015,2015-04-21T00:00:00,21,8,14,,2.5
20886,2015,2015-04-21T00:00:00,22,8,14,,2.5
20887,2015,2015-04-21T00:00:00,23,8,14,,2.5
20888,2015,2015-04-21T00:00:00,24,8,14,,2.5
20889,2015,2015-04-21T00:00:00,25,8,14,,2.5
20890,2015,2015-04-21T00:00:00,26,8,14,,2.5
20891,2015,2015-04-21T00:00:00,27,8,14,,2.5
20892,2015,2015-04-21T00:00:00,28,8,14,,2.5
20893,2015,2015-04-21T00:00:00,29,8,14,,2.5
20894,2015,2015-04-21T00:00:00,30,8,14,,2.5
20895,2015,2015-04-21T00:00:00,31,8,14,,2.5
20896,2015,2015-04-21T00:00:00,32,8,14,,2.5
