Pflanzenschutz_Mittel_ID,Name,Bemerkungen_ID
1,Acrobat,4
2,Alverde,9
3,Amistar,4
4,Amistar opti,4
5,Arelon Top,8
6,Aresin,8
7,Aretit,8
8,Artus,8
9,Atlantis,8
10,Atlantis OD,8
11,Aviator Xpro Duo,4
12,Axial 50,8
13,Bacara,8
14,Basagran DP,8
15,Basagran ultra,8
16,Bayfidan,4
17,Bayleton,4
18,Bestran FL,4
19,Betanal,8
20,Biscaya,9
21,Boxer,8
22,Broadway,8
23,Broadway,8
24,Bulldock,9
25,Butisan Top,8
26,Cadou,8
27,Calixin,11
28,Callisto,8
29,Camposan,6
30,Capalo,4
31,Carax,14
32,Cato,8
33,CCC,4
34,CCC 720,7
35,Cercobin M,4
36,Ceriax,4
37,Cerobin FL,4
38,Champion,4
39,Ciluan,4
40,Compete,8
41,Corbel,11
42,Custos WG,4
43,Cycoel 720,7
44,Dantop,9
45,Decis,5
46,Delicia,12
47,Desmel,4
48,FHS,3
49,Diamant,4
50,Dicopur M,8
51,Dithane Neo-Tec,4
52,Dyrene,4
53,Fenikan,8
54,Folicur,4
55,Gardo Gold,8
56,Gladio,4
57,Gusathion K,9
58,Herbatox,8
59,Hora Flo,8
60,Husar,8
61,Input Classic,4
62,Input Xpro,4
63,Juwel Top,4
64,Käfer__ohne Namen,10
65,Karate Zeon,9
66,Krautfäule_ohne Namen,4
67,Maneb,4
68,Moddus,7
69,Nexit stark,4
70,Opera,4
71,Opus top,4
72,Ortho Difolatan,4
73,Perfekthion,9
74,Pirimor Gran,2
75,Polyram Combi,4
76,Primus Perfect,8
77,Prosaro,4
78,Pyramin,8
79,Ranger,4
80,Reglone,13
81,Ridomil MZ,4
82,Ronilan 50,4
83,Round Up Power Flex,8
84,Round Up Ultra Max,8
85,Sandofan M,4
86,Sapecron,2
87,Sencor,8
88,Shirlan,4
89,Signum,4
90,SkywayXpro,4
91,Sportak,4
92,Sportak alpha,4
93,Starane,8
94,Starane XL,8
95,Stomp SC,8
96,Sumicidin Alpha EC,9
97,MaisTER Power,8
98,Super Herbogil,8
99,Tattoo,10
100,Terpal,7
101,Terpal C,7
102,Tribunil,8
103,U46D,8
104,U46KV,8
105,U46M,8
106,Decis,10
107,Lotus DP,8
108,Aspect  Pack,8
109,Adexar,4
110,Brestan 60,4
111,Elatus Era,4
112,Laudis Aspect Pack,
