Sorte_ID,Sorte,Bsa_Code,Kultur_ID
1,Amagrano,M11824,1
2,Apostel,WW4909,7
3,Aramir,GS504,2
4,Astron,WW1550,7
5,Avatar,RAW3284,3
6,Camera,,5
7,Caribo,WW411,7
8,Edelstein,K3433,6
9,Emily,GW2340,5
10,Erna,K2118,6
11,Grata,K89,6
12,Igri,GW245,5
13,Kadrilj,WS818,8
14,Kaweduca,ZR258,4
15,Kerubino,WW3086,7
16,Kronjuwel,WW1012,7
17,Labea,GW1094,5
18,Lapriora,,1
19,Lennox,WS972,8
20,Ludwig,WW2406,7
21,Marinka,GW698,5
22,Meridian,GW2794,5
23,Metaxa,GW2533,5
24,Obelisk,WW1431,7
25,Orestis,WW1508,7
26,Selma,K1802,6
27,Sharki,WS1013,8
28,Tommi,WW2880,7
29,Trixi,GW753,5
30,Verticale,GW2101,5
31,Keine Angabe,,9
32,Keine Angabe,,10
33,Keine Angabe,,11
34,Keine Angabe,,12
35,Keine Angabe,,13
36,Sandra,GW2761,5
37,Agrobeppo,,1
