"experiment_ID","experiment_year","treatment_number","treatment_name","plot_id","plot_geocoord_x","plot_geocoord_y","plot_geocoord_system","replicate_number","crop_id","irrigation_level","org_materials_applic_lev","treatment_comments","genotype_level","field_level","initial_conditions_level","planting_level","fertilizer_level","chemical_applic_level","tillage_level","harvest_operations_level"
"LTFE_Duernast","2015",1,"1","3",4477222.539,5362884.698,"GK",2,"WHT",0,0,"Düngung niedrig, Harnstoff",1,1,1,1,2,1,1,1
"LTFE_Duernast","2015",1,"1","17",4477208.074,5362874.079,"GK",1,"WHT",0,0,"Düngung niedrig, Harnstoff",1,1,1,1,2,1,1,1
"LTFE_Duernast","2015",1,"1","39",4477188.345,5362895.298,"GK",4,"WHT",0,0,"Düngung niedrig, Harnstoff",1,1,1,1,2,1,1,1
"LTFE_Duernast","2015",1,"1","53",4477173.903,5362884.679,"GK",3,"WHT",0,0,"Düngung niedrig, Harnstoff",1,1,1,1,2,1,1,1
"LTFE_Duernast","2015",2,"2","5",4477221.183,5362892.666,"GK",3,"WHT",0,0,"Düngung niedrig, Ammoniumsulfatsalpeter",1,1,1,1,11,1,1,1
"LTFE_Duernast","2015",2,"2","19",4477206.752,5362882.047,"GK",2,"WHT",0,0,"Düngung niedrig, Ammoniumsulfatsalpeter",1,1,1,1,11,1,1,1
"LTFE_Duernast","2015",2,"2","33",4477192.281,5362871.438,"GK",1,"WHT",0,0,"Düngung niedrig, Ammoniumsulfatsalpeter",1,1,1,1,11,1,1,1
"LTFE_Duernast","2015",2,"2","55",4477172.587,5362892.641,"GK",4,"WHT",0,0,"Düngung niedrig, Ammoniumsulfatsalpeter",1,1,1,1,11,1,1,1
"LTFE_Duernast","2015",3,"3","7",4477219.846,5362900.613,"GK",4,"WHT",0,0,"Düngung niedrig, Ammonium-Sulfat mit Inhibitor",1,1,1,1,13,1,1,1
"LTFE_Duernast","2015",3,"3","21",4477205.414,5362890.009,"GK",3,"WHT",0,0,"Düngung niedrig, Ammonium-Sulfat mit Inhibitor",1,1,1,1,13,1,1,1
"LTFE_Duernast","2015",3,"3","35",4477190.967,5362879.399,"GK",2,"WHT",0,0,"Düngung niedrig, Ammonium-Sulfat mit Inhibitor",1,1,1,1,13,1,1,1
"LTFE_Duernast","2015",3,"3","49",4477176.548,5362868.781,"GK",1,"WHT",0,0,"Düngung niedrig, Ammonium-Sulfat mit Inhibitor",1,1,1,1,13,1,1,1
"LTFE_Duernast","2015",4,"4","9",4477215.976,5362875.403,"GK",1,"WHT",0,0,"Düngung niedrig, Kalkammonsalpeter 1",1,1,1,1,5,1,1,1
"LTFE_Duernast","2015",4,"4","31",4477196.218,5362896.629,"GK",4,"WHT",0,0,"Düngung niedrig, Kalkammonsalpeter 1",1,1,1,1,5,1,1,1
"LTFE_Duernast","2015",4,"4","45",4477181.791,5362886.018,"GK",3,"WHT",0,0,"Düngung niedrig, Kalkammonsalpeter 1",1,1,1,1,5,1,1,1
"LTFE_Duernast","2015",4,"4","59",4477167.318,5362875.394,"GK",2,"WHT",0,0,"Düngung niedrig, Kalkammonsalpeter 1",1,1,1,1,5,1,1,1
"LTFE_Duernast","2015",5,"5","11",4477214.638,5362883.371,"GK",2,"WHT",0,0,"Düngung niedrig, Kalkstickstoff",1,1,1,1,9,1,1,1
"LTFE_Duernast","2015",5,"5","25",4477200.186,5362872.762,"GK",1,"WHT",0,0,"Düngung niedrig, Kalkstickstoff",1,1,1,1,9,1,1,1
"LTFE_Duernast","2015",5,"5","47",4477180.475,5362893.979,"GK",4,"WHT",0,0,"Düngung niedrig, Kalkstickstoff",1,1,1,1,9,1,1,1
"LTFE_Duernast","2015",5,"5","61",4477166.011,5362883.364,"GK",3,"WHT",0,0,"Düngung niedrig, Kalkstickstoff",1,1,1,1,9,1,1,1
"LTFE_Duernast","2015",6,"6","13",4477213.284,5362891.333,"GK",3,"WHT",0,0,"Düngung niedrig, Ammonium-Nitrat-Harnstoff-Lösung",1,1,1,1,3,1,1,1
"LTFE_Duernast","2015",6,"6","27",4477198.856,5362880.722,"GK",2,"WHT",0,0,"Düngung niedrig, Ammonium-Nitrat-Harnstoff-Lösung",1,1,1,1,3,1,1,1
"LTFE_Duernast","2015",6,"6","41",4477184.388,5362870.112,"GK",1,"WHT",0,0,"Düngung niedrig, Ammonium-Nitrat-Harnstoff-Lösung",1,1,1,1,3,1,1,1
"LTFE_Duernast","2015",6,"6","63",4477164.695,5362891.325,"GK",4,"WHT",0,0,"Düngung niedrig, Ammonium-Nitrat-Harnstoff-Lösung",1,1,1,1,3,1,1,1
"LTFE_Duernast","2015",7,"7","15",4477211.968,5362899.278,"GK",4,"WHT",0,0,"Düngung niedrig, Kalkammonsalpeter 2",1,1,1,1,6,1,1,1
"LTFE_Duernast","2015",7,"7","29",4477197.533,5362888.668,"GK",3,"WHT",0,0,"Düngung niedrig, Kalkammonsalpeter 2",1,1,1,1,6,1,1,1
"LTFE_Duernast","2015",7,"7","43",4477183.065,5362878.064,"GK",2,"WHT",0,0,"Düngung niedrig, Kalkammonsalpeter 2",1,1,1,1,6,1,1,1
"LTFE_Duernast","2015",7,"7","57",4477168.657,5362867.468,"GK",1,"WHT",0,0,"Düngung niedrig, Kalkammonsalpeter 2",1,1,1,1,6,1,1,1
"LTFE_Duernast","2015",8,"8","4",4477221.863,5362888.676,"GK",2,"WHT",0,0,"Düngung hoch, Harnstoff",1,1,1,1,1,1,1,1
"LTFE_Duernast","2015",8,"8","18",4477207.419,5362878.064,"GK",1,"WHT",0,0,"Düngung hoch, Harnstoff",1,1,1,1,1,1,1,1
"LTFE_Duernast","2015",8,"8","40",4477187.659,5362899.308,"GK",4,"WHT",0,0,"Düngung hoch, Harnstoff",1,1,1,1,1,1,1,1
"LTFE_Duernast","2015",8,"8","54",4477173.247,5362888.684,"GK",3,"WHT",0,0,"Düngung hoch, Harnstoff",1,1,1,1,1,1,1,1
"LTFE_Duernast","2015",9,"9","6",4477220.505,5362896.656,"GK",3,"WHT",0,0,"Düngung hoch, Ammoniumsulfatsalpeter",1,1,1,1,12,1,1,1
"LTFE_Duernast","2015",9,"9","20",4477206.067,5362886.033,"GK",2,"WHT",0,0,"Düngung hoch, Ammoniumsulfatsalpeter",1,1,1,1,12,1,1,1
"LTFE_Duernast","2015",9,"9","34",4477191.618,5362875.419,"GK",1,"WHT",0,0,"Düngung hoch, Ammoniumsulfatsalpeter",1,1,1,1,12,1,1,1
"LTFE_Duernast","2015",9,"9","56",4477171.901,5362896.651,"GK",4,"WHT",0,0,"Düngung hoch, Ammoniumsulfatsalpeter",1,1,1,1,12,1,1,1
