Termin,T_Mit_2m,Luftfeuchte,Niederschlag_Summe,T_Min_2m,T_Max_2m,Sonnenstunden
2015-01-01T00:00:00,-2.9,94.6,0,-6.6,0.6,1.9
2015-01-02T00:00:00,-1.6,92.2,5.4,-8.4,3.2,2
2015-01-03T00:00:00,1,94.7,27.1,-0.4,4.6,0
2015-01-04T00:00:00,1,86.2,0,0.4,1.3,0
2015-01-05T00:00:00,0.4,78.4,0,-2.5,2.8,1.8
2015-01-06T00:00:00,-0.6,81.7,0,-3.9,3.5,5.4
2015-01-07T00:00:00,-0.4,93,1,-4.6,1.9,0
2015-01-08T00:00:00,3.9,81.8,0.2,-1.9,7.7,0
2015-01-09T00:00:00,6.8,78.5,3.8,4.1,9.4,0
2015-01-10T00:00:00,12.5,72.7,0,9.3,15,4.1
2015-01-11T00:00:00,2.7,85.9,9.1,0.2,11.2,0.8
2015-01-12T00:00:00,2.7,71.8,0,-1.6,4.7,0.4
2015-01-13T00:00:00,4.6,55.4,0,-2.9,13.2,7.9
2015-01-14T00:00:00,5.5,73,1.4,-0.5,9.8,0
2015-01-15T00:00:00,2.1,84.9,0,-1.7,7.3,1.2
2015-01-16T00:00:00,1.3,87.9,0,-2.2,4.7,1.3
2015-01-17T00:00:00,1,96.9,7.3,0.2,3.2,0
2015-01-18T00:00:00,0.9,93.3,0,0.1,2.5,0
2015-01-19T00:00:00,0.4,87.4,0,-2.2,3,4.6
2015-01-20T00:00:00,-0.7,97.2,0,-2.3,0.9,0
2015-01-21T00:00:00,-0.1,89.4,0,-0.8,0.3,0
2015-01-22T00:00:00,0,93,0,-0.4,0.8,0
2015-01-23T00:00:00,-0.2,95.6,0.2,-0.8,0.2,0
2015-01-24T00:00:00,-0.6,91,0,-2.1,0.3,0
2015-01-25T00:00:00,-0.4,89.5,2.4,-1.3,0.6,0.1
2015-01-26T00:00:00,-0.7,86.2,2.4,-2.1,1.4,2.7
2015-01-27T00:00:00,0.4,92.9,1.6,-0.3,1.1,0.9
2015-01-28T00:00:00,0,85.4,0.6,-2.2,1.8,3.2
2015-01-29T00:00:00,1,86.3,2.1,-1.1,2.9,4.6
2015-01-30T00:00:00,-0.3,81.9,1.5,-4.6,1.9,0.1
2015-01-31T00:00:00,-0.9,81.5,0.5,-4.4,1.9,6.4
2015-02-01T00:00:00,-1.2,84.5,1.7,-6.2,1.6,3.1
2015-02-02T00:00:00,-1,89.2,0.4,-5.1,0.8,0.7
2015-02-03T00:00:00,-5.8,87.7,0,-11.8,-0.7,8.1
2015-02-04T00:00:00,-7.7,89.2,0,-14.1,-2.7,7
2015-02-05T00:00:00,-2.9,78.5,0,-5,-1.1,0
2015-02-06T00:00:00,-3.6,71.8,0,-6.2,-1.3,4.2
2015-02-07T00:00:00,-5.6,72.5,0,-8.2,-2.4,7.8
2015-02-08T00:00:00,-2.8,73.8,1,-7.5,0.7,2
2015-02-09T00:00:00,-2,75.3,0.1,-4.5,0.3,0
2015-02-10T00:00:00,0.3,82.6,0,-5.4,3.6,0.9
2015-02-11T00:00:00,-0.9,94.6,0,-3.1,0.6,0
2015-02-12T00:00:00,-1.8,98.5,0,-2.6,-1.1,0
2015-02-13T00:00:00,-3.1,97.9,0,-4.6,-1.7,0
2015-02-14T00:00:00,-3,97.5,0,-4.3,-2,0
2015-02-15T00:00:00,-2.2,97.2,0,-4.5,-0.1,0
2015-02-16T00:00:00,-1.4,96.4,0,-3,0,0
2015-02-17T00:00:00,-2.4,98.3,0,-3.5,-1.2,0
2015-02-18T00:00:00,-1.9,96.1,0,-2.9,-1.4,0
2015-02-19T00:00:00,-2.5,92.5,0,-4.7,3.4,3.1
2015-02-20T00:00:00,-0.9,82,0,-8.6,8.9,10
2015-02-21T00:00:00,0.6,77.9,0,-5.8,6.7,1.8
2015-02-22T00:00:00,0.7,93.9,2,-4.2,3.6,0.3
2015-02-23T00:00:00,0.1,94.5,2.6,-4.5,4.3,0.7
2015-02-24T00:00:00,2.4,85.8,0.4,-0.9,5.2,0.5
2015-02-25T00:00:00,1.3,84.8,0,-2.1,4.9,0.8
2015-02-26T00:00:00,0.6,84.1,0,-3.9,6.3,9.3
2015-02-27T00:00:00,1,84.7,1.3,-4.4,7.8,7.5
2015-02-28T00:00:00,1.1,93.5,0.4,-1.6,3.6,0
2015-03-01T00:00:00,3.2,90.5,1,-2,8.1,0.1
2015-03-02T00:00:00,5.4,83.5,6.7,0.9,8.6,0.1
2015-03-03T00:00:00,3.6,68.7,0,0.4,8.1,9
2015-03-04T00:00:00,3,75.7,1.6,-0.4,5.5,2.8
2015-03-05T00:00:00,1.6,75.4,0.3,-0.4,4.6,1.6
2015-03-06T00:00:00,2.3,74.8,0,-2.3,6.1,1.1
2015-03-07T00:00:00,2.5,76.8,0,-2.9,8.8,9.4
2015-03-08T00:00:00,4.3,69.2,0,-2.7,12.5,9.6
2015-03-09T00:00:00,4.8,68.9,0,-1.5,13,9.8
2015-03-10T00:00:00,5.7,69.6,0,-3.1,13.9,9.1
2015-03-11T00:00:00,4.4,73.5,1.4,-1.5,7.9,4.4
2015-03-12T00:00:00,3.7,70.8,0,0.1,8.1,1.7
2015-03-13T00:00:00,2,73.2,0,-0.8,4.2,0
2015-03-14T00:00:00,2.1,83.8,0,-2,5.4,0
2015-03-15T00:00:00,4.3,74.2,0,-0.8,10.2,5.5
2015-03-16T00:00:00,7.1,61.1,0,1.4,13.5,3
2015-03-17T00:00:00,10,58.8,0,4.1,17.5,8.2
2015-03-18T00:00:00,7.3,63.6,0,0.7,14.6,10.9
2015-03-19T00:00:00,5.8,62.3,0,-1,13.6,11
2015-03-20T00:00:00,4.7,63.2,0,-2.6,13.3,10.5
2015-03-21T00:00:00,5.4,70.3,2.8,-3.4,14,7.7
2015-03-22T00:00:00,4.2,86.8,0.9,2.6,5.7,0
2015-03-23T00:00:00,4.1,83.6,0,-0.8,6.3,0
2015-03-24T00:00:00,6.5,74.8,0,-2,15.2,9.8
2015-03-25T00:00:00,9.1,66.3,0,2.7,15.2,6.4
2015-03-26T00:00:00,5.9,86.5,0.7,4.9,7.7,0
2015-03-27T00:00:00,5.7,75.5,1.2,3.8,9.1,1.7
2015-03-28T00:00:00,6.4,66,0.1,1,11.8,7.4
2015-03-29T00:00:00,9.5,77.6,0.9,6.5,12.5,0.1
2015-03-30T00:00:00,6.5,80.7,7.9,3.8,9.5,2.2
