Pflanzenlaborwerte_ID,Probenahme_Pflanzen_ID,Hp_Trockenmasse,TS,N,P,K,Ca,Mg,C,TKG,Oel,Protein,Glukosinolate,Staerke,Koerner_kleiner_2_2,Koerner_von_2_2_bis_2_5,Koerner_von_2_5_bis_2_8,Koerner_groesser_2_8,N_Proz_Restpflanze_ohne_Korn
3169,3169,36.02,96.94,1.94,,,,,,37.85,,,,,2.96,21.05,48.43,27.7,
3170,3170,31.45,96.61,2.61,,,,,,43.59,,,,,0.64,10.05,37.93,51.25,
3171,3171,61.35,95.14,2.18,,,,,,40.85,,,,,2.04,12.65,36.01,49.18,
3172,3172,77.27,96.81,2.52,,,,,,42.06,,,,,1.45,12.28,37.65,48.75,
3173,3173,73.61,96.57,2.51,,,,,,43.07,,,,,1.33,9.87,33.73,54.92,
3174,3174,82.08,96.02,2.52,,,,,,41.95,,,,,1.31,11.95,37.31,49.03,
3175,3175,63.22,96.64,1.94,,,,,,42.02,,,,,1.29,9.59,35.98,53.21,
3176,3176,65.69,96.08,2.57,,,,,,44.79,,,,,0.94,7.4,33.04,58.36,
3177,3177,69.34,96.36,2.03,,,,,,37.89,,,,,2.94,17.56,46.69,32.67,
3178,3178,81.42,96.74,2.5,,,,,,43.46,,,,,1.01,12.02,36.53,50.26,
3179,3179,73.6,95.97,2.11,,,,,,42.37,,,,,1.24,11.23,39.9,47.68,
3180,3180,81.36,96.67,2.57,,,,,,42.37,,,,,1.15,12.07,39.8,47.07,
3181,3181,68.86,91.2,0,,,,,,41.2,,,,,0.96,9.92,37.14,51.31,
3182,3182,79.92,96.36,2.51,,,,,,41.02,,,,,1.23,11.6,40.52,46.47,
3183,3183,77.11,96.62,2.1,,,,,,42.96,,,,,1.05,10,36.29,52.28,
3184,3184,79.07,96.26,2.61,,,,,,44.45,,,,,0.77,8.09,32.09,58.87,
3185,3185,75.25,96.26,2.19,,,,,,43.78,,,,,1.66,11.64,32.33,54.21,
3186,3186,84.4,96.84,2.54,,,,,,42.91,,,,,0.96,11.22,38.06,49.73,
3187,3187,74.88,96.68,2.27,,,,,,41.96,,,,,1.28,13.42,39.4,45.51,
3188,3188,88.53,97.06,2.57,,,,,,42.04,,,,,1.82,13.23,40.64,44.12,
3189,3189,78.06,95.78,2.39,,,,,,42.21,,,,,1.06,11.85,35.4,51.55,
3190,3190,84.12,96.69,2.54,,,,,,42.27,,,,,1.17,11.63,37.2,49.9,
3191,3191,34.09,96.55,1.83,,,,,,41.11,,,,,1.22,9.21,34.81,54.49,
3192,3192,38.4,95.32,1.52,,,,,,41.55,,,,,0.75,6.51,30.84,61.8,
3193,3193,71.98,96.08,2.09,,,,,,42.23,,,,,1.6,13.13,39.09,46.38,
3194,3194,80.35,96.59,2.49,,,,,,41.59,,,,,1.27,13.23,41.66,43.51,
3195,3195,65.94,95.79,2.35,,,,,,41.12,,,,,1.77,13.11,38.85,46.05,
3196,3196,79.61,96.88,2.53,,,,,,41.69,,,,,1.4,13.84,41.79,42.76,
3197,3197,82.15,96.35,2.36,,,,,,42.53,,,,,1.56,11.62,37.86,49.16,
3198,3198,83.56,96.71,2.32,,,,,,42.89,,,,,0.81,9.58,35.94,53.25,
3199,3199,71.1,96.99,2.18,,,,,,43.12,,,,,0.84,8.25,32.64,58.23,
3200,3200,73.13,96.36,2.55,,,,,,43.42,,,,,1.28,9.53,35.08,53.61,
3201,3201,78.46,96.47,2.31,,,,,,44.34,,,,,0.96,8.98,32.76,56.95,
3202,3202,85.3,96.78,2.56,,,,,,43.23,,,,,0.88,12.23,37.62,49.21,
3203,3203,74.4,96.8,2.31,,,,,,42.66,,,,,1.37,10.86,38.7,48.84,
3204,3204,78.55,96.67,2.56,,,,,,40.98,,,,,1.22,13.58,40.88,43.99,
3205,3205,38.98,96.44,2.21,,,,,,43.58,,,,,1.06,11.47,36.43,50.79,
3206,3206,37.12,96.69,2.26,,,,,,42.66,,,,,1.13,10.18,36.44,52.11,
3207,3207,65.02,96.35,2.2,,,,,,44.41,,,,,0.75,6.74,28.26,63.85,
3208,3208,72.39,96.74,2.44,,,,,,43.28,,,,,1.18,8.77,29.05,60.86,
3209,3209,69.5,96.3,2.39,,,,,,41.71,,,,,1.77,11.78,37.13,49.2,
3210,3210,75.06,96.49,2.55,,,,,,43.13,,,,,0.93,11.06,38.14,49.47,
3211,3211,76.77,96.91,2.32,,,,,,42.71,,,,,1.18,10.77,40.93,46.87,
3212,3212,84.48,96.45,2.57,,,,,,42.55,,,,,0.76,10.79,39,49.19,
3213,3213,75.67,96.5,2.12,,,,,,42.82,,,,,1.03,9.18,34.35,55.15,
3214,3214,80.73,96.65,2.36,,,,,,44.27,,,,,0.94,10.17,33.18,55.65,
3215,3215,70.53,96.71,2.13,,,,,,43.44,,,,,1.13,9.35,30.79,58.67,
3216,3216,69.98,96.68,2.23,,,,,,43.42,,,,,0.95,9.28,31.66,58.29,
3217,3217,75.62,96.27,2.12,,,,,,42.91,,,,,1.09,9.88,39.17,50.01,
3218,3218,79.29,96.28,2.51,,,,,,44.13,,,,,1.13,9.43,34.75,54.64,
3219,3219,29.46,96.62,2.22,,,,,,43.56,,,,,0.98,10.41,38.93,49.18,
3220,3220,31.87,96,2.03,,,,,,39.74,,,,,2.14,11.72,40.29,45.73,
3221,3221,67.05,96.29,2.29,,,,,,44.08,,,,,0.66,8.89,31.98,58.34,
3222,3222,80.97,96.65,2.21,,,,,,42.5,,,,,1.52,10.26,32.25,55.89,
