"experiment_ID","experiment_year","plot_id","treatment_number","date_of_measurement","harvest_yield_at_day_dw","yield_moisture_content","grain_unit_dry_weight","grain_N","grain_P","grain_K","grain_protein_concentration","grain_oil_conc","obs_time_series_comment"
"LTFE_Duernast",2015,3,1,"2015-08-25",6135,4.86,40.85,133.743,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,17,1,"2015-08-25",7525,3.73999999999999,43.78,164.7975,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,39,1,"2015-08-25",6502,3.65000000000001,44.41,143.044,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,53,1,"2015-08-25",6705,3.70999999999999,44.08,153.5445,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,5,2,"2015-08-25",7361,3.43000000000001,43.07,184.7611,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,19,2,"2015-08-25",7488,3.31999999999999,41.96,169.9776,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,33,2,"2015-08-25",7846,3.53,44.34,181.2426,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,55,2,"2015-08-25",6388,3.15000000000001,44.62,137.9808,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,7,3,"2015-08-25",6322,3.36,42.02,122.6468,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,21,3,"2015-08-25",7806,4.22,42.21,186.5634,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,35,3,"2015-08-25",7440,3.2,42.66,171.864,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,49,3,"2015-08-25",7562,3.73,42.91,160.3144,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,9,4,"2015-08-25",6934,3.64,37.89,140.7602,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,31,4,"2015-08-25",7110,3.01000000000001,43.12,154.998,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,45,4,"2015-08-25",7567,3.5,42.82,160.4204,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,59,4,"2015-08-25",7049,3.23999999999999,41.89,142.3898,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,11,5,"2015-08-25",7360,4.03,42.37,155.296,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,25,5,"2015-08-25",7198,3.92,42.23,150.4382,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,47,5,"2015-08-25",7053,3.29000000000001,43.44,150.2289,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,61,5,"2015-08-25",7096,3.26000000000001,43.56,156.8216,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,13,6,"2015-08-25",6886,8.8,41.2,0,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,27,6,"2015-08-25",6594,4.20999999999999,41.12,154.959,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,41,6,"2015-08-25",6950,3.7,41.71,166.105,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,63,6,"2015-08-25",5447,3.73999999999999,42.48,120.3787,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,15,7,"2015-08-25",7711,3.38,42.96,161.931,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,29,7,"2015-08-25",8215,3.65000000000001,42.53,193.874,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,43,7,"2015-08-25",7677,3.09,42.71,178.1064,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,57,7,"2015-08-25",7895,3.73,43.74,162.637,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,4,8,"2015-08-25",7727,3.19,42.06,194.7204,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,18,8,"2015-08-25",8440,3.16,42.91,214.376,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,40,8,"2015-08-25",7239,3.26000000000001,43.28,176.6316,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,54,8,"2015-08-25",8097,3.34999999999999,42.5,178.9437,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,6,9,"2015-08-25",8208,3.98,41.95,206.8416,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,20,9,"2015-08-25",8853,2.94,42.04,227.5221,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,34,9,"2015-08-25",8530,3.22,43.23,218.368,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,56,9,"2015-08-25",7117,3.08,43.35,173.6548,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,8,10,"2015-08-25",6569,3.92,44.79,168.8233,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,22,10,"2015-08-25",8412,3.31,42.27,213.6648,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,36,10,"2015-08-25",7855,3.33,40.98,201.088,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,50,10,"2015-08-25",7929,3.72,44.13,199.0179,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,10,11,"2015-08-25",8142,3.26000000000001,43.46,203.55,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,32,11,"2015-08-25",7313,3.64,43.42,186.4815,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,46,11,"2015-08-25",8073,3.34999999999999,44.27,190.5228,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,60,11,"2015-08-25",7538,3.93000000000001,41.68,157.5442,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,12,12,"2015-08-25",8136,3.33,42.37,209.0952,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,26,12,"2015-08-25",8035,3.41,41.59,200.0715,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,48,12,"2015-08-25",6998,3.31999999999999,43.42,156.0554,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,62,12,"2015-08-25",7481,3.51000000000001,43.15,160.0934,NA,NA,NA,NA,NA
"LTFE_Duernast",2015,14,13,"2015-08-25",7992,3.64,41.02,200.5992,NA,NA,NA,NA,NA
